</S>       </s rsh 
OSUMADVACET       o s u m a d v a c e t 
OSUMADVACÁTÝHO       o s u m a d v a c aa t ii h o 
OSUMDESÁT       o s u m d e s aa t 
OSUMDESÁTI       o s u m d e s aa tj i 
OSUMDESÁTINY       o s u m d e s aa tj i n i 
OSUMNÁCT       o s u m n aa c t 
OSUŠIT       o s u sh i t 
OSVĚDČENÍ       o s v j e t ch e nj ii 
OSVĚŽIT       o s v j e zh i t 
OTAZNÍK       o t a z nj ii k 
OTCOVA       o t c o v a 
OTCOVSTVÍ       o t c o f s t v ii 
OTEC       o t e c 
OTEKLO       o t e k l o 
OTEKLOU       o t e k l ow 
OTEKLÉ       o t e k l ee 
OTEPLILO       o t e p l i l o 
OTESTOVAT       o t e s t o v a t 
OTEVÍRÁ       o t e v ii r aa 
OTEVŘE       o t e v rzh e 
OTEVŘEL       o t e v rzh e l 
OTEVŘELA       o t e v rzh e l a 
OTEVŘELI       o t e v rzh e l i 
OTEVŘEN       o t e v rzh e n 
OTEVŘENA       o t e v rzh e n a 
OTEVŘENÉ       o t e v rzh e n ee 
OTEVŘENÉMA       o t e v rzh e n ee m a 
OTEVŘENÝ       o t e v rzh e n ii 
OTEVŘENÝCH       o t e v rzh e n ii x 
OTEVŘENĚ       o t e v rzh e nj e 
OTEVŘI       o t e v rzh i 
OTEVŘU       o t e v rzh u 
OTEVŘÍT       o t e v rzh ii t 
OTLUČENÝ       o t l u ch e n ii 
OTOKY       o t o k i 
OTRHAT       o t r h a t 
OTROKA       o t r o k a 
OTVÍRAJÍ       o t v ii r a j ii 
OTVÍRÁK       o t v ii r aa k 
OTÁZEK       o t aa z e k 
OTÁZKA       o t aa s k a 
OTÁZKOU       o t aa s k ow 
OTÁZKU       o t aa s k u 
OTÁZKY       o t aa s k i 
OTÁČIM       o t aa ch i m 
OTČÍM       o t ch ii m 
OTŘES       o t rsh e s 
OTŘESENÉ       o t rsh e s e n ee 
OU       ow 
OUKEJ       ow k e j 
OVLIVNIT       o v l i v nj i t 
OVLIVNĚNÁ       o v l i v nj e n aa 
OVLIVŇOVAT       o v l i v nj o v a t 
OVLÁDAJÍ       o v l aa d a j ii 
OVLÁDAJÍCÍCH       o v l aa d a j ii c ii x 
OVLÁDAL       o v l aa d a l 
OVLÁDALA       o v l aa d a l a 
OVLÁDÁNÍ       o v l aa d aa nj ii 
OVOCE       o v o c e 
OVOCEM       o v o c e m 
OVOCNÉ       o v o c n ee 
OVÁL       o v aa l 
OVĚŘIT       o v j e rzh i t 
OVŠEM       o f sh e m 
OXANA       o k s a n a 
OXANU       o k s a n u 
OXANY       o k s a n i 
OZNAČENÁ       o z n a ch e n aa 
OZNÁMENO       o z n aa m e n o 
OZNÁMENÍ       o z n aa m e nj ii 
OZNÁMIL       o z n aa m i l 
OZNÁMILA       o z n aa m i l a 
OZNÁMILI       o z n aa m i l i 
OZNÁMILO       o z n aa m i l o 
OZNÁMÍ       o z n aa m ii 
OZVAL       o z v a l 
OZVALA       o z v a l a 
OZVE       o z v e 
OZVEŠ       o z v e sh 
OZVI       o z v i 
OZVU       o z v u 
OZVĚNOU       o z v j e n ow 
OZVĚTE       o z v j e t e 
OZÓNOVOU       o z o n o v ow 
OZÝVALI       o z ii v a l i 
OZÝVAT       o z ii v a t 
OZÝVÁ       o z ii v aa 
OČEKÁVAJÍ       o ch e k aa v a j ii 
OČEKÁVAT       o ch e k aa v a t 
OČEKÁVÁ       o ch e k aa v aa 
OČEKÁVÁNÍ       o ch e k aa v aa nj ii 
OČI       o ch i 
OČIMA       o ch i m a 
OČISTNÁ       o ch i s t n aa 
OČIVIDNÉ       o ch i v i d n ee 
OČIVIDNĚ       o ch i v i d nj e 
OČKOVAT       o ch k o v a t 
OČNÍM       o ch nj ii m 
OČÍ       o ch ii 
OŘECHY       o rzh e x i 
OŘÍŠKOVOU       o rzh ii sh k o v ow 
OŘÍŠKOVÉ       o rzh ii sh k o v ee 
OŘÍŠKY       o rzh ii sh k i 
OŠETŘENÍ       o sh e t rsh e nj ii 
OŠKLIVÁ       o sh k l i v aa 
OŽIVENÍ       o zh i v e nj ii 
OŽÍRALI       o zh ii r a l i 
P       p 
PA       p a 
PACHATELE       p a x a t e l e 
PACHATELÍCH       p a x a t e l ii x 
PACHATELŮ       p a x a t e l uu 
PACIENT       p a c i e n t 
PADAJ       p a d a j 
PADESÁT       p a d e s aa t 
PADESÁTI       p a d e s aa tj i 
PADESÁTILETÁ       p a d e s aa tj i l e t aa 
PADESÁTKU       p a d e s aa t k u 
PADLO       p a d l o 
PADNE       p a d n e 
PADNOUT       p a d n ow t 
PADÁ       p a d aa 
PADÁK       p a d aa k 
PADÁKA       p a d aa k a 
PADÁKU       p a d aa k u 
PADÁM       p a d aa m 
PADĚLANÉ       p a dj e l a n ee 
PAJDÁK       p a j d aa k 
PAJDÁKU       p a j d aa k u 
PAK       p a k 
PAKÁRNA       p a k aa r n a 
PALAC       p a l a c 
PALACKÉ       p a l a c k ee 
PALACKÉHO       p a l a c k ee h o 
PALEC       p a l e c 
PALEČKY       p a l e ch k i 
PALIVO       p a l i v o 
PALIVOVÉ       p a l i v o v ee 
PALIČKY       p a l i ch k i 
PALMOVCE       p a l m o f c e 
PALMOVKA       p a l m o f k a 
PALMOVKÁ       p a l m o f k aa 
PALUBU       p a l u b u 
PALÁC       p a l aa c 
PALČIVĚJŠÍ       p a l ch i v j e j sh ii 
PAMATUJ       p a m a t u j 
PAMATUJE       p a m a t u j e 
PAMATUJEŠ       p a m a t u j e sh 
PAMATUJU       p a m a t u j u 
PAMÁTKU       p a m aa t k u 
PAMÁTNÍKU       p a m aa t nj ii k u 
PAN       p a n 
PANA       p a n a 
PANE       p a n e 
PANELÁČEK       p a n e l aa ch e k 
PANELÉKU       p a n e l ee k u 
PANEM       p a n e m 
PANGEJTEM       p a ng g e j t e m 
PANI       p a nj i 
PANKRÁC       p a ng k r aa c 
PANSKÉHO       p a n s k ee h o 
PANTOFLE       p a n t o f l e 
PANTU       p a n t u 
PANÍ       p a nj ii 
PAPA       p a p a 
PAPALA       p a p a l a 
PAPOUŠKEM       p a p ow sh k e m 
PAPRIKY       p a p r i k i 
PAPRSEK       p a p r s e k 
PAPUČE       p a p u ch e 
PAPÁM       p a p aa m 
PAPÍR       p a p ii r 
PAPÍRAMA       p a p ii r a m a 
PAPÍREK       p a p ii r e k 
PAPÍRKU       p a p ii r k u 
PAPÍRKY       p a p ii r k i 
PAPÍROVOU       p a p ii r o v ow 
PAPÍRU       p a p ii r u 
PAPÍRŮ       p a p ii r uu 
PAPÍŘE       p a p ii rzh e 
PARAPETU       p a r a p e t u 
PARDON       p a r d o n 
PARDUBIC       p a r d u b i c 
PARDUBICE       p a r d u b i c e 
PARDUBICKÁ       p a r d u b i c k aa 
PARDUBICKÝ       p a r d u b i c k ii 
PARDUBICÍCH       p a r d u b i c ii x 
PARENICU       p a r e nj i c u 
PARISOTO       p a r i s o t o 
PARK       p a r k 
PARKOVÁNÍ       p a r k o v aa nj ii 
PARKU       p a r k u 
PARLAMENT       p a r l a m e n t 
PARLAMENTEM       p a r l a m e n t e m 
PARLAMENTNÍ       p a r l a m e n t nj ii 
PARLAMENTU       p a r l a m e n t u 
PARSOVAT       p a r s o v a t 
PARTIE       p a r tj i e 
PARTIZÁN       p a r tj i z aa n 
PARTNERA       p a r t n e r a 
PARTNEREM       p a r t n e r e m 
PARTNEROVI       p a r t n e r o v i 
PARTNERSKÉ       p a r t n e r s k ee 
PARTNERSKÝCH       p a r t n e r s k ii x 
PARTNERSTVÍ       p a r t n e r s t v ii 
PARTNERY       p a r t n e r i 
PARTĚ       p a r tj e 
PARÁDA       p a r aa d a 
PARÁDNÍ       p a r aa d nj ii 
PARÁDNĚ       p a r aa d nj e 
PARŤÁCI       p a r tj aa c i 
PAS       p a s 
PASE       p a s e 
PASIVNÍ       p a s i v nj ii 
PASÁŽ       p a s aa sh 
PASÁŽÍ       p a s aa zh ii 
PASÉ       p a s ee 
PATEK       p a t e k 
PATENT       p a t e n t 
PATIZON       p a tj i z o n 
PATIČKA       p a tj i ch k a 
PATIČKY       p a tj i ch k i 
PATNÁCT       p a t n aa c t 
PATNÁCTI       p a t n aa c tj i 
PATNÁCTILETÝCH       p a t n aa c tj i l e t ii x 
PATNÁCTÉHO       p a t n aa c t ee h o 
PATNÁCTÉM       p a t n aa c t ee m 
PATNÁST       p a t n aa s t 
PATRIKU       p a t r i k u 
PATRNÝ       p a t r n ii 
PATÉ       p a t ee 
PATŘÍ       p a t rsh ii 
PAUZU       p aw z u 
PAVEL       p a v e l 
PAVELKOVA       p a v e l k o v a 
PAVELKOVU       p a v e l k o v u 
PAVILÓN       p a v i l o n 
PAVLA       p a v l a 
PAVLE       p a v l e 
PAVLI       p a v l i 
PAVLOV       p a v l o f 
PAVLOVA       p a v l o v a 
PAVLOVIČE       p a v l o v i ch e 
PAVLOVU       p a v l o v u 
PAVLOVY       p a v l o v i 
PAVLÍNKA       p a v l ii ng k a 
PAVLÍNKO       p a v l ii ng k o 
PAVLÍNKOU       p a v l ii ng k ow 
PAVLÍNKU       p a v l ii ng k u 
PAVLÍNO       p a v l ii n o 
PAČ       p a ch 
PAŘÍŽSKÝ       p a rzh ii sh s k ii 
PAŤO       p a tj o 
PEC       p e c 
PECKA       p e c k a 
PECKOVIC       p e c k o v i c 
PEJSKAMA       p e j s k a m a 
PEKING       p e k i ng k 
PEKLO       p e k l o 
PENNY       p e n i 
PENZIJNÍ       p e n z i j nj ii 
PENZIČKA       p e n z i ch k a 
PENÍZ       p e nj ii s 
PENÍZE       p e nj ii z e 
PENÍZKY       p e nj ii s k i 
PENĚZ       p e nj e s 
PENĚZÍCH       p e nj e z ii x 
PEPA       p e p a 
PEPIKU       p e p i k u 
PEPO       p e p o 
PEPOVI       p e p o v i 
PEPU       p e p u 
PEPÍK       p e p ii k 
PEPÍKOVI       p e p ii k o v i 
PERE       p e r e 
PERFEKTNÍ       p e r f e k t nj ii 
PERFEKTNĚ       p e r f e k t nj e 
PERMUTOVANÝ       p e r m u t o v a n ii 
PERNÍK       p e r nj ii k 
PEROU       p e r ow 
PERSONÁLNÍ       p e r s o n aa l nj ii 
PERU       p e r u 
PES       p e s 
PESIMISTIČTĚJŠÍ       p e s i m i s tj i ch tj e j sh ii 
PETR       p e t r 
PETRA       p e t r a 
PETREM       p e t r e m 
PETROCHEMIE       p e t r o x e m i e 
PETROU       p e t r ow 
PETROVI       p e t r o v i 
PETROVICE       p e t r o v i c e 
PETROVY       p e t r o v i 
PETRUŠKA       p e t r u sh k a 
PETRŽÍLOVA       p e t r zh ii l o v a 
PETRŽÍLOVU       p e t r zh ii l o v u 
PETŘINY       p e t rsh i n i 
PEVNOU       p e v n ow 
PEVNÁ       p e v n aa 
PEVNÉ       p e v n ee 
PEVNÝ       p e v n ii 
PEVNĚ       p e v nj e 
PEČABÁKY       p e ch a b aa k i 
PEČEŤ       p e ch e tj 
PEČIVO       p e ch i v o 
PEŘINÁCH       p e rzh i n aa x 
PEŘINĚ       p e rzh i nj e 
PEŠKY       p e sh k i 
PEŤA       p e tj a 
PEŤO       p e tj o 
PIJ       p i j 
PIJE       p i j e 
PIJU       p i j u 
PILE       p i l e 
PILNĚ       p i l nj e 
PILOTNÍ       p i l o t nj ii 
PILU       p i l u 
PILÍN       p i l ii n 
PILÍŘE       p i l ii rzh e 
PINDY       p i n d i 
PINK       p i ng k 
PIRÁTA       p i r aa t a 
PISTOLÍ       p i s t o l ii 
PITOMOST       p i t o m o s t 
PITOMÉ       p i t o m ee 
PITOMÝ       p i t o m ii 
PITOMÝHO       p i t o m ii h o 
PITVÁ       p i t v aa 
PITÍ       p i tj ii 
PIVA       p i v a 
PIVNÍ       p i v nj ii 
PIVO       p i v o 
PIVOVARU       p i v o v a r u 
PIÁNO       p i aa n o 
PLACENÁ       p l a c e n aa 
PLACENÍ       p l a c e nj ii 
PLACENÝ       p l a c e n ii 
PLACHTU       p l a x t u 
PLACKU       p l a c k u 
PLAKALA       p l a k a l a 
PLANDAVEJMA       p l a n d a v e j m a 
PLANETĚ       p l a n e tj e 
PLANINĚ       p l a nj i nj e 
PLANÉ       p l a n ee 
PLASTOVÝCH       p l a s t o v ii x 
PLATBA       p l a d b a 
PLATEBNÍ       p l a t e b nj ii 
PLATIL       p l a tj i l 
PLATILA       p l a tj i l a 
PLATILI       p l a tj i l i 
PLATIT       p l a tj i t 
PLATNO       p l a t n o 
PLATNOST       p l a t n o s t 
PLATNÝ       p l a t n ii 
PLATÍ       p l a tj ii 
PLATÍŠ       p l a tj ii sh 
PLATÓNOVA       p l a t o n o v a 
PLAVBU       p l a v b u 
PLAVECKÉ       p l a v e c k ee 
PLAVKY       p l a f k i 
PLAVÝ       p l a v ii 
PLAY       p l a i 
PLECHOVÁ       p l e x o v aa 
PLELA       p l e l a 
PLENTOU       p l e n t ow 
PLES       p l e s 
PLESE       p l e s e 
PLETE       p l e t e 
PLETEŠ       p l e t e sh 
PLEVEL       p l e v e l 
PLEZÍRU       p l e z ii r u 
PLNEJ       p l n e j 
PLNIT       p l nj i t 
PLNO       p l n o 
PLNOHODNOTNÉ       p l n o h o d n o t n ee 
PLNOPRÁVNÝMI       p l n o p r aa v n ii m i 
PLNÚ       p l n uu 
PLNÝ       p l n ii 
PLNĚ       p l nj e 
PLOCHU       p l o x u 
PLOCHY       p l o x i 
PLOCHÝ       p l o x ii 
PLODÍ       p l o dj ii 
PLOT       p l o t 
PLOTEM       p l o t e m 
PLOTNY       p l o t n i 
PLOTY       p l o t i 
PLOŠE       p l o sh e 
PLUJE       p l u j e 
PLUKU       p l u k u 
PLUS       p l u s 
PLUSOVÝ       p l u s o v ii 
PLYNOUT       p l i n ow t 
PLYNU       p l i n u 
PLYNUTÍ       p l i n u tj ii 
PLYNÁRNY       p l i n aa r n i 
PLYNÁRNĚ       p l i n aa r nj e 
PLZENŠKÝ       p l z e n sh k ii 
PLZNI       p l z nj i 
PLZNĚ       p l z nj e 
PLÁN       p l aa n 
PLÁNOVAL       p l aa n o v a l 
PLÁNOVAT       p l aa n o v a t 
PLÁNU       p l aa n u 
PLÁNUJE       p l aa n u j e 
PLÁNUJEME       p l aa n u j e m e 
PLÁNUJETE       p l aa n u j e t e 
PLÁNUJEŠ       p l aa n u j e sh 
PLÁNUJOU       p l aa n u j ow 
PLÁNUJU       p l aa n u j u 
PLÁTCE       p l aa t c e 
PLÁTEK       p l aa t e k 
PLÁTNA       p l aa t n a 
PLÁŠTĚNKU       p l aa sh tj e ng k u 
PLÁŽ       p l aa sh 
PLÉST       p l ee s t 
PLÍSNI       p l ii s nj i 
PO       p o 
POBALTÍ       p o b a l tj ii 
POBOČKA       p o b o ch k a 
POBRAT       p o b r a t 
POBÝHATI       p o b ii h a tj i 
POBĚŽÍTE       p o b j e zh ii t e 
POBŘEŽNÍ       p o b rzh e zh nj ii 
POBŘEŽÍ       p o b rzh e zh ii 
POCESTOVAL       p o c e s t o v a l 
POCHLAPÍ       p o x l a p ii 
POCHOD       p o x o t 
POCHODÍŠ       p o x o dj ii sh 
POCHOPILA       p o x o p i l a 
POCHOPIT       p o x o p i t 
POCHOPITELNĚ       p o x o p i t e l nj e 
POCHOPÍ       p o x o p ii 
POCHOVEJTE       p o x o v e j t e 
POCHVALA       p o x v a l a 
POCHVÁLILA       p o x v aa l i l a 
POCHYBENÝ       p o x i b e n ii 
POCHYBIT       p o x i b i t 
POCHYBUJU       p o x i b u j u 
POCIT       p o c i t 
POCITU       p o c i t u 
POCITY       p o c i t i 
POCTIVEJ       p o c tj i v e j 
POCTIVÝ       p o c tj i v ii 
POCÍTILI       p o c ii tj i l i 
POD       p o t 
PODADEJ       p o d a d e j 
PODANÝ       p o d a n ii 
PODAT       p o d a t 
PODAŘILO       p o d a rzh i l o 
PODAŘÍ       p o d a rzh ii 
PODBĚLOHORSKÁ       p o d b j e l o h o r s k aa 
PODEJ       p o d e j 
PODEPSAL       p o d e p s a l 
PODEPSAT       p o d e p s a t 
PODEPÍŠOU       p o d e p ii sh ow 
PODEZŘELE       p o d e z rzh e l e 
PODIVAJ       p o dj i v a j 
PODIVAM       p o dj i v a m 
PODIVAT       p o dj i v a t 
PODIVEJ       p o dj i v e j 
PODIVEJTE       p o dj i v e j t e 
PODIVNÉ       p o dj i v n ee 
PODIVÁM       p o dj i v aa m 
PODIVÁŠ       p o dj i v aa sh 
PODKLADY       p o t k l a d i 
PODKOLENKY       p o t k o l e ng k i 
PODLAHU       p o d l a h u 
PODLAHY       p o d l a h i 
PODLE       p o d l e 
PODLOŽKU       p o d l o sh k u 
PODLÉHAJÍ       p o d l ee h a j ii 
PODLŮŽKA       p o d l uu sh k a 
PODMÍNEK       p o d m ii n e k 
PODMÍNKY       p o d m ii ng k i 
PODMÍNĚNÉMU       p o d m ii nj e n ee m u 
PODNAPILÉM       p o d n a p i l ee m 
PODNIK       p o d nj i k 
PODNIKAL       p o d nj i k a l 
PODNIKAT       p o d nj i k a t 
PODNIKATELSKÉHO       p o d nj i k a t e l s k ee h o 
PODNIKATELSKÝ       p o d nj i k a t e l s k ii 
PODNIKATELŮ       p o d nj i k a t e l uu 
PODNIKU       p o d nj i k u 
PODNIKÁ       p o d nj i k aa 
PODNIKÁNÍ       p o d nj i k aa nj ii 
PODOBNÁ       p o d o b n aa 
PODOBNÉ       p o d o b n ee 
PODOBNÉHO       p o d o b n ee h o 
PODOBNÝ       p o d o b n ii 
PODOBNÝCH       p o d o b n ii x 
PODOBNÝHO       p o d o b n ii h o 
PODOBNĚ       p o d o b nj e 
PODOBNĚJŠÍ       p o d o b nj e j sh ii 
PODOBU       p o d o b u 
PODOBÁ       p o d o b aa 
PODOLANKÁCH       p o d o l a ng k aa x 
PODPORA       p o t p o r a 
PODPOROVAT       p o t p o r o v a t 
PODPORU       p o t p o r u 
PODPORUJEME       p o t p o r u j e m e 
PODRAZY       p o d r a z i 
PODROBNOSTI       p o d r o b n o s tj i 
PODROBNOSTÍ       p o d r o b n o s tj ii 
PODRUHÝ       p o d r u h ii 
PODRŽ       p o d r sh 
PODSEPISOVAL       p o t s e p i s o v a l 
PODSTATNÝ       p o t s t a t n ii 
PODSTATNĚ       p o t s t a t nj e 
PODSTATĚ       p o t s t a tj e 
PODSVĚTÍ       p o t s v j e tj ii 
PODTRHY       p o t t r h i 
PODUSIT       p o d u s i t 
PODUŠENÉ       p o d u sh e n ee 
PODVODNÍK       p o d v o d nj ii k 
PODVOZEK       p o d v o z e k 
PODZEMÍ       p o c e m ii 
PODZIM       p o c i m 
PODZIMNÍCH       p o c i m nj ii x 
PODÁ       p o d aa 
PODÁM       p o d aa m 
PODÉL       p o d ee l 
PODÉLNÉ       p o d ee l n ee 
PODÍL       p o dj ii l 
PODÍVAL       p o dj ii v a l 
PODÍVALA       p o dj ii v a l a 
PODÍVALI       p o dj ii v a l i 
PODÍVAM       p o dj ii v a m 
PODÍVAT       p o dj ii v a t 
PODÍVEJ       p o dj ii v e j 
PODÍVÁ       p o dj ii v aa 
PODÍVÁM       p o dj ii v aa m 
PODÍVÁME       p o dj ii v aa m e 
PODÍVÁŠ       p o dj ii v aa sh 
PODĚBRAD       p o dj e b r a t 
PODĚBRADY       p o dj e b r a d i 
PODĚKOVALA       p o dj e k o v a l a 
PODĚKUJ       p o dj e k u j 
PODĚLAT       p o dj e l a t 
PODĚLÁM       p o dj e l aa m 
PODĚSIT       p o dj e s i t 
PODŘÍZENÍ       p o d rzh ii z e nj ii 
PODŠKRTNUL       p o t sh k r t n u l 
POEZIE       p o e z i e 
POGRATULOVAT       p o g r a t u l o v a t 
POHLADÍ       p o h l a dj ii 
POHLED       p o h l e t 
POHLEDU       p o h l e d u 
POHLEDÁVEK       p o h l e d aa v e k 
POHLÍDAT       p o h l ii d a t 
POHNUL       p o h n u l 
POHO       p o h o 
POHODA       p o h o d a 
POHODLNOU       p o h o d l n ow 
POHODLNYM       p o h o d l n i m 
POHODOVÝ       p o h o d o v ii 
POHODĚ       p o h o dj e 
POHOTOVOST       p o h o t o v o s t 
POHOVKY       p o h o f k i 
POHOVOR       p o h o v o r 
POHOŘELEC       p o h o rzh e l e c 
POHROMADĚ       p o h r o m a dj e 
POHROMÁCH       p o h r o m aa x 
POHYB       p o h i p 
POHYBU       p o h i b u 
POHÁDALA       p o h aa d a l a 
POHÁDALI       p o h aa d a l i 
POHÁDKA       p o h aa t k a 
POHÁDKU       p o h aa t k u 
POHÁDKY       p o h aa t k i 
POHŘBU       p o h rzh b u 
POHŘEB       p o h rzh e p 
POJEDE       p o j e d e 
POJEDEM       p o j e d e m 
POJEDEME       p o j e d e m e 
POJEDETE       p o j e d e t e 
POJEDEŠ       p o j e d e sh 
POJEDNOU       p o j e d n ow 
POJEDNÁNÍ       p o j e d n aa nj ii 
POJEDOU       p o j e d ow 
POJEDU       p o j e d u 
POJETÍ       p o j e tj ii 
POJIŠTĚNEJ       p o j i sh tj e n e j 
POJIŠTĚNÝ       p o j i sh tj e n ii 
POJIŠŤOVNA       p o j i sh tj o v n a 
POJIŠŤOVNICTVÍ       p o j i sh tj o v nj i c t v ii 
POJMENOVALA       p o j m e n o v a l a 
POJMENOVAT       p o j m e n o v a t 
POJĎ       p o j tj 
POJĎME       p o j dj m e 
POJĎTE       p o j tj t e 
POKAZIL       p o k a z i l 
POKAŽDÝ       p o k a zh d ii 
POKECAL       p o k e c a l 
POKECALI       p o k e c a l i 
POKECAT       p o k e c a t 
POKECÁME       p o k e c aa m e 
POKECÁNIM       p o k e c aa nj i m 
POKLADNĚ       p o k l a d nj e 
POKLIDIT       p o k l i dj i t 
POKLÁDAL       p o k l aa d a l 
POKLÁDAT       p o k l aa d a t 
POKLÁDÁ       p o k l aa d aa 
POKLÍZELA       p o k l ii z e l a 
POKOJ       p o k o j 
POKOJE       p o k o j e 
POKOJI       p o k o j i 
POKOJÍCH       p o k o j ii x 
POKOJÍK       p o k o j ii k 
POKOJÍKU       p o k o j ii k u 
POKOJÍČEK       p o k o j ii ch e k 
POKOJÍČKU       p o k o j ii ch k u 
POKOUŠELI       p o k ow sh e l i 
POKRAČOVALY       p o k r a ch o v a l i 
POKRAČOVAT       p o k r a ch o v a t 
POKRAČOVÁNÍ       p o k r a ch o v aa nj ii 
POKRAČUJE       p o k r a ch u j e 
POKRAČUJÍ       p o k r a ch u j ii 
POKROK       p o k r o k 
POKRÝT       p o k r ii t 
POKUD       p o k u t 
POKUS       p o k u s 
POKUSILA       p o k u s i l a 
POKUSILI       p o k u s i l i 
POKUSIM       p o k u s i m 
POKUSU       p o k u s u 
POKUSY       p o k u s i 
POKÁCENÉHO       p o k aa c e n ee h o 
POLARIZOVAT       p o l a r i z o v a t 
POLDI       p o l dj i 
POLE       p o l e 
POLEBA       p o l e b a 
POLEDNE       p o l e d n e 
POLEDNÍMU       p o l e d nj ii m u 
POLEKALA       p o l e k a l a 
POLEMIKU       p o l e m i k u 
POLETÍ       p o l e tj ii 
POLEVA       p o l e v a 
POLEŽET       p o l e zh e t 
POLICIE       p o l i c i e 
POLICII       p o l i c i i 
POLIKLINIKA       p o l i k l i nj i k a 
POLIKLINIKU       p o l i k l i nj i k u 
POLIKLINIKY       p o l i k l i nj i k i 
POLITICE       p o l i t i c e 
POLITICI       p o l i t i c i 
POLITICKY       p o l i t i c k i 
POLITICKÁ       p o l i t i c k aa 
POLITICKÉ       p o l i t i c k ee 
POLITICKÝ       p o l i t i c k ii 
POLITIKA       p o l i t i k a 
POLITIKU       p o l i t i k u 
POLITIKŮ       p o l i t i k uu 
POLIČKA       p o l i ch k a 
POLIČKU       p o l i ch k u 
POLO       p o l o 
POLOHA       p o l o h a 
POLOHU       p o l o h u 
POLOHY       p o l o h i 
POLOJASNO       p o l o j a s n o 
POLOSPÁNKU       p o l o s p aa ng k u 
POLOVINA       p o l o v i n a 
POLOVINU       p o l o v i n u 
POLOVINY       p o l o v i n i 
POLOVIČCE       p o l o v i ch c e 
POLOVIČNÍ       p o l o v i ch nj ii 
POLOŽ       p o l o sh 
POLOŽEK       p o l o zh e k 
POLOŽENÝ       p o l o zh e n ii 
POLOŽIL       p o l o zh i l 
POLOŽILA       p o l o zh i l a 
POLOŽILO       p o l o zh i l o 
POLOŽIT       p o l o zh i t 
POLOŽÍ       p o l o zh ii 
POLOŽÍM       p o l o zh ii m 
POLOŽÍME       p o l o zh ii m e 
POLSKO       p o l s k o 
POLSKÁ       p o l s k aa 
POLSKÉHO       p o l s k ee h o 
POLYNOMIÁLNÍ       p o l i n o m i aa l nj ii 
POLÁMALO       p o l aa m a l o 
POLÍVKA       p o l ii f k a 
POLÍVKU       p o l ii f k u 
POLÍVKY       p o l ii f k i 
POLŠTÁŘ       p o l sh t aa rsh 
POLŠTÁŘU       p o l sh t aa rzh u 
POLŮCHEJ       p o l uu x e j 
POMALU       p o m a l u 
POMALÝ       p o m a l ii 
POMERANČ       p o m e r a n ch 
POMLOUVALA       p o m l ow v a l a 
POMLOUVAT       p o m l ow v a t 
POMOC       p o m o c 
POMOCI       p o m o c i 
POMOCT       p o m o c t 
POMOHL       p o m o h l 
POMOHLA       p o m o h l a 
POMOHLI       p o m o h l i 
POMOHLO       p o m o h l o 
POMOŽ       p o m o sh 
POMUKU       p o m u k u 
POMYSLÍ       p o m i s l ii 
POMÁHALO       p o m aa h a l o 
POMÁHAT       p o m aa h a t 
POMÁHÁ       p o m aa h aa 
POMÁHÁŠ       p o m aa h aa sh 
POMĚRNĚ       p o m nj e r nj e 
POMĚRY       p o m nj e r i 
POMŮCKU       p o m uu c k u 
POMŮŽE       p o m uu zh e 
POMŮŽETE       p o m uu zh e t e 
POMŮŽOU       p o m uu zh ow 
POMŮŽU       p o m uu zh u 
PONDĚLEJ       p o nj dj e l e j 
PONDĚLEK       p o nj dj e l e k 
PONDĚLKA       p o nj dj e l k a 
PONDĚLÍ       p o nj dj e l ii 
PONECHÁVALI       p o n e x aa v a l i 
PONECHÁVÁ       p o n e x aa v aa 
PONOŽEK       p o n o zh e k 
PONÍŽENÍ       p o nj ii zh e nj ii 
PONĚKUD       p o nj e k u t 
PONĚM       p o nj e m 
PONĚVADŽ       p o nj e v a ch 
POOBĚDVÁ       p o o b j e d v aa 
POOBĚDVÁM       p o o b j e d v aa m 
POOPEROVANÉ       p o o p e r o v a n ee 
POOR       p o o r 
POOTEVŘE       p o o t e v rzh e 
POPIS       p o p i s 
POPISOVAT       p o p i s o v a t 
POPISUJU       p o p i s u j u 
POPLATEK       p o p l a t e k 
POPLATILI       p o p l a tj i l i 
POPLATKU       p o p l a t k u 
POPLATKY       p o p l a t k i 
POPOVÍDALA       p o p o v ii d a l a 
POPOVÍDAT       p o p o v ii d a t 
POPOVÍDÁM       p o p o v ii d aa m 
POPRAVOVALI       p o p r a v o v a l i 
POPRAVU       p o p r a v u 
POPROSILA       p o p r o s i l a 
POPROSIM       p o p r o s i m 
POPROSÍ       p o p r o s ii 
POPRVÍ       p o p r v ii 
POPRVÝ       p o p r v ii 
POPRŠELO       p o p r sh e l o 
POPSAL       p o p s a l 
POPSAT       p o p s a t 
POPSÁN       p o p s aa n 
POPTAM       p o p t a m 
POPTÁVKOVEJ       p o p t aa f k o v e j 
POPTÁVKU       p o p t aa f k u 
POPTÁVKY       p o p t aa f k i 
POPULACÍ       p o p u l a c ii 
POPULARITU       p o p u l a r i t u 
POPÍŠU       p o p ii sh u 
POPŘÁT       p o p rsh aa t 
PORADIM       p o r a dj i m 
PORADIT       p o r a dj i t 
PORADU       p o r a d u 
PORAĎ       p o r a tj 
PORAŽENI       p o r a zh e nj i 
POROD       p o r o t 
PORODNICA       p o r o d nj i c a 
PORODU       p o r o d u 
PORPORU       p o r p o r u 
PORT       p o r t 
